scenario,time_min,tumor_cell_count,cumulative_phagocytosis_events,mean_ecm_density
high_TGFb,14.5,30,5,0.4359
high_TGFb,15.0,31,5,0.43569
high_TGFb,15.5,30,6,0.43547
high_TGFb,16.0,30,6,0.43525
high_TGFb,16.5,31,6,0.43503
high_TGFb,17.0,31,6,0.43482
high_TGFb,17.5,33,6,0.4346
high_TGFb,18.0,35,6,0.43438
high_TGFb,18.5,34,7,0.43416
high_TGFb,19,33,9,0.43395
high_TGFb,19.5,33,9,0.43373
high_TGFb,20.0,33,9,0.43351
high_TGFb,20.5,33,9,0.4333
high_TGFb,21.0,34,9,0.43308
high_TGFb,21.5,33,10,0.43286
high_TGFb,22.0,33,11,0.43265
high_TGFb,22.5,32,12,0.43243
high_TGFb,23.0,31,14,0.43221
high_TGFb,23.5,31,14,0.432
high_TGFb,24.0,33,14,0.43178
high_TGFb,24.5,33,14,0.43157
high_TGFb,25.0,33,14,0.43135
high_TGFb,25.5,34,14,0.43114
high_TGFb,26.0,34,15,0.43092
high_TGFb,26.5,34,16,0.4307
high_TGFb,27.0,33,17,0.43049
high_TGFb,27.5,33,17,0.43027
high_TGFb,28.0,33,17,0.43006
high_TGFb,28.5,35,17,0.42984
high_TGFb,29.0,35,17,0.42963
high_TGFb,29.5,34,18,0.42941
high_TGFb,30.0,35,18,0.4292
high_TGFb,30.5,34,19,0.42898
high_TGFb,31.0,35,19,0.42877
high_TGFb,31.5,35,19,0.42856
high_TGFb,32.0,37,19,0.42834
high_TGFb,32.5,39,19,0.42813
high_TGFb,33.0,39,19,0.42791
high_TGFb,33.5,40,19,0.4277
high_TGFb,34.0,39,20,0.42749
high_TGFb,34.5,39,20,0.42727
high_TGFb,35.0,38,21,0.42706
high_TGFb,35.5,39,21,0.42685
high_TGFb,36.0,43,21,0.42663
high_TGFb,36.5,44,21,0.42642
high_TGFb,37.0,44,22,0.42621
high_TGFb,37.5,45,22,0.42599
high_TGFb,38.0,45,23,0.42578
high_TGFb,38.5,47,23,0.42557
high_TGFb,39.0,47,23,0.42535
high_TGFb,39.5,48,23,0.42514
high_TGFb,40.0,50,23,0.42493
CD147_ECM,0.5,25,0,0.44185
CD147_ECM,1.0,25,0,0.44143
CD147_ECM,1.5,25,0,0.44101
CD147_ECM,2.0,25,0,0.44059
CD147_ECM,2.5,26,0,0.44017
CD147_ECM,3.0,26,0,0.43975
CD147_ECM,3.5,26,0,0.43933
CD147_ECM,4.0,26,0,0.43891
CD147_ECM,4.5,26,0,0.43849
CD147_ECM,5.0,26,0,0.43807
CD147_ECM,5.5,26,0,0.43765
CD147_ECM,6.0,26,0,0.43723
CD147_ECM,6.5,26,0,0.43681
CD147_ECM,7.0,26,0,0.4364
CD147_ECM,7.5,27,0,0.43598
CD147_ECM,8.0,27,0,0.43556
CD147_ECM,8.5,29,0,0.43514
CD147_ECM,9.0,29,0,0.43472
CD147_ECM,9.5,29,0,0.43431
CD147_ECM,10.0,29,0,0.43389
CD147_ECM,10.5,29,0,0.43347
CD147_ECM,11.0,29,0,0.43306
CD147_ECM,11.5,30,0,0.43264
CD147_ECM,12.0,30,0,0.43222
CD147_ECM,12.5,30,0,0.43181
CD147_ECM,13.0,30,0,0.43139
CD147_ECM,13.5,31,0,0.43098
CD147_ECM,14.0,32,0,0.43056
CD147_ECM,14.5,33,0,0.43015
CD147_ECM,15.0,34,0,0.42973
CD147_ECM,15.5,35,0,0.42932
CD147_ECM,16.0,36,0,0.4289
CD147_ECM,16.5,36,0,0.42849
CD147_ECM,17.0,37,0,0.42807
CD147_ECM,17.5,38,0,0.42766
CD147_ECM,18.0,38,0,0.42725
CD147_ECM,18.5,38,0,0.42683
CD147_ECM,19,39,0,0.42642
CD147_ECM,19.5,39,0,0.42601
CD147_ECM,20.0,39,0,0.42559
CD147_ECM,20.5,41,0,0.42518
CD147_ECM,21.0,41,0,0.42477
CD147_ECM,21.5,41,0,0.42435
CD147_ECM,22.0,41,0,0.42394
CD147_ECM,22.5,42,0,0.42353
CD147_ECM,23.0,44,0,0.42312
CD147_ECM,23.5,45,0,0.42271
CD147_ECM,24.0,47,0,0.4223
CD147_ECM,24.5,50,0,0.42189
CD147_ECM,25.0,52,0,0.42147
CD147_ECM,25.5,52,0,0.42106
CD147_ECM,26.0,53,0,0.42065
CD147_ECM,26.5,53,0,0.42024
CD147_ECM,27.0,53,0,0.41983
CD147_ECM,27.5,55,0,0.41942
CD147_ECM,28.0,56,0,0.41901
CD147_ECM,28.5,58,0,0.4186
CD147_ECM,29.0,59,0,0.41819
CD147_ECM,29.5,59,0,0.41779
CD147_ECM,30.0,61,0,0.41738
CD147_ECM,30.5,61,0,0.41697
CD147_ECM,31.0,61,0,0.41656
CD147_ECM,31.5,63,0,0.41615
CD147_ECM,32.0,67,0,0.41574
CD147_ECM,32.5,69,0,0.41534
CD147_ECM,33.0,71,0,0.41493
CD147_ECM,33.5,74,0,0.41452
CD147_ECM,34.0,75,0,0.41411
CD147_ECM,34.5,75,0,0.41371
CD147_ECM,35.0,75,0,0.4133
CD147_ECM,35.5,75,0,0.41289
CD147_ECM,36.0,75,0,0.41249
CD147_ECM,36.5,75,0,0.41208
CD147_ECM,37.0,75,0,0.41168
CD147_ECM,37.5,75,0,0.41127
CD147_ECM,38.0,75,0,0.41086
CD147_ECM,38.5,75,0,0.41046
CD147_ECM,39.0,75,0,0.41005
CD147_ECM,39.5,75,0,0.40965
CD147_ECM,40.0,75,0,0.40924
